YEAR,number,,,
3/14/05,1,,,
3/14/06,5,,,
3/14/11,9,,,
3/14/14,2,,,
3/14/16,1,,,
3/14/18,3,,,
3/14/20,69,,,
3/14/21,12,,,
3/14/22,14,,,
3/14/23,7,,,
3/14/24,30,,,
3/14/25,58,,,
3/14/26,86,,,
3/14/27,65,,,
3/14/28,105,,,
3/14/29,83,,,
3/14/30,79,,,
3/14/31,45,,,
3/14/32,171,,,
3/14/33,119,,,
3/14/34,170,,,
3/14/35,490,,,
3/14/36,164,,,
3/14/37,9,,,
3/14/38,28,,,
3/14/39,13,,,
3/14/40,18,,,
3/14/41,11,,,
3/14/42,5,,,
3/14/43,20,,,
3/14/44,13,,,
3/14/45,11,,,
3/14/46,19,,,
3/14/47,26,,,
3/14/48,30,,,
3/14/49,17,,,
3/14/50,35,,,
3/14/51,5,,,
3/14/52,8,,,
3/14/53,8,,,
3/14/54,6,,,
3/14/55,20,,,
3/14/56,48,,,
3/14/57,6,,,
3/14/58,19,,,
3/14/59,18,,,
3/14/60,11,,,
3/14/61,10,,,
3/14/62,12,,,
3/14/63,23,,,
3/14/64,67,,,
3/14/65,54,,,
3/14/66,44,,,
3/14/67,28,,,
3/14/68,19,,,
3/14/69,16,,,
3/14/70,53,,,
3/14/71,20,,,
3/14/72,26,,,
3/14/73,41,,,
3/14/74,29,,,
3/14/75,31,,,
3/14/76,37,,,
3/14/77,23,,,
3/14/78,14,,,
3/14/79,27,,,
3/14/80,33,,,
3/14/81,14,,,
3/14/82,11,,,
3/14/83,26,,,
3/14/84,45,,,
3/14/85,13,,,
3/14/86,62,,,
3/14/87,20,,,
3/14/88,13,,,
3/14/89,11,,,
3/14/90,3,,,